-- run 1 events --
class               start      dur     rest
  2 (AudWord)       74.00     4.00     4.00
  1 (FalVisWord)    82.00     4.00    10.00
  1 (FalVisWord)    96.00     4.00     8.00
  1 (FalVisWord)   108.00     4.00     4.00
  2 (AudWord)      116.00     4.00     6.00
  0 (VisWord)      126.00     4.00     4.00
  3 (FalAudWord)   134.00     4.00     4.00
  1 (FalVisWord)   142.00     4.00     6.00
  2 (AudWord)      152.00     4.00     8.00
  3 (FalAudWord)   164.00     4.00     6.00
  0 (VisWord)      174.00     4.00     4.00
  1 (FalVisWord)   182.00     4.00     6.00
  1 (FalVisWord)   192.00     4.00     4.00
  3 (FalAudWord)   200.00     4.00     4.00
  1 (FalVisWord)   208.00     4.00     4.00
  3 (FalAudWord)   216.00     4.00     6.00
  3 (FalAudWord)   226.00     4.00     4.00
  1 (FalVisWord)   234.00     4.00     8.00
  3 (FalAudWord)   246.00     4.00     4.00
  1 (FalVisWord)   254.00     4.00     6.00
  0 (VisWord)      264.00     4.00     4.00
  2 (AudWord)      272.00     4.00     8.00
  1 (FalVisWord)   284.00     4.00     4.00
  3 (FalAudWord)   292.00     4.00     6.00
  1 (FalVisWord)   302.00     4.00     4.00
  2 (AudWord)      310.00     4.00     4.00
  1 (FalVisWord)   318.00     4.00     4.00
  1 (FalVisWord)   326.00     4.00     6.00
  0 (VisWord)      336.00     4.00     6.00
  0 (VisWord)      346.00     4.00     4.00
  0 (VisWord)      354.00     4.00     8.00
  0 (VisWord)      366.00     4.00     6.00
  1 (FalVisWord)   376.00     4.00     6.00
  1 (FalVisWord)   386.00     4.00     4.00
  0 (VisWord)      394.00     4.00    14.00
  2 (AudWord)      412.00     4.00    12.00
  2 (AudWord)      428.00     4.00     4.00
  1 (FalVisWord)   436.00     4.00     4.00
  2 (AudWord)      444.00     4.00     6.00
  0 (VisWord)      454.00     4.00     6.00
  0 (VisWord)      464.00     4.00     4.00
  3 (FalAudWord)   472.00     4.00     6.00
  2 (AudWord)      482.00     4.00     4.00
  3 (FalAudWord)   490.00     4.00     4.00
  2 (AudWord)      498.00     4.00     4.00
  1 (FalVisWord)   506.00     4.00     4.00
  0 (VisWord)      514.00     4.00     4.00
  2 (AudWord)      522.00     4.00     6.00
  0 (VisWord)      532.00     4.00     6.00
  2 (AudWord)      542.00     4.00     4.00
  3 (FalAudWord)   550.00     4.00     4.00
  0 (VisWord)      558.00     4.00     4.00
  3 (FalAudWord)   566.00     4.00     6.00
  3 (FalAudWord)   576.00     4.00     4.00
  2 (AudWord)      584.00     4.00     4.00
  0 (VisWord)      592.00     4.00     6.00
  0 (VisWord)      602.00     4.00     4.00
  3 (FalAudWord)   610.00     4.00     4.00
  3 (FalAudWord)   618.00     4.00     6.00
  2 (AudWord)      628.00     4.00     6.00
  0 (VisWord)      638.00     4.00     0.00

-- run 5 events --
class               start      dur     rest
-----               -----     ----     ----
  1 (FalVisWord)    12.00     4.00     4.00
  3 (FalAudWord)    20.00     4.00     4.00
  3 (FalAudWord)    28.00     4.00     6.00
  2 (AudWord)       38.00     4.00    12.00
  1 (FalVisWord)    54.00     4.00     4.00
  2 (AudWord)       62.00     4.00     4.00
  2 (AudWord)       70.00     4.00     4.00
  2 (AudWord)       78.00     4.00     4.00
  1 (FalVisWord)    86.00     4.00     8.00
  0 (VisWord)       98.00     4.00     4.00
  1 (FalVisWord)   106.00     4.00     4.00
  2 (AudWord)      114.00     4.00     6.00
  3 (FalAudWord)   124.00     4.00     8.00
  3 (FalAudWord)   136.00     4.00     4.00
  2 (AudWord)      144.00     4.00     8.00
  0 (VisWord)      156.00     4.00     6.00
  0 (VisWord)      166.00     4.00     6.00
  2 (AudWord)      176.00     4.00     4.00
  0 (VisWord)      184.00     4.00     8.00
  2 (AudWord)      196.00     4.00     4.00
  3 (FalAudWord)   204.00     4.00     4.00
  0 (VisWord)      212.00     4.00     4.00
  2 (AudWord)      220.00     4.00     8.00
  1 (FalVisWord)   232.00     4.00     4.00
  2 (AudWord)      240.00     4.00    12.00
  3 (FalAudWord)   256.00     4.00     4.00
  3 (FalAudWord)   264.00     4.00     4.00
  3 (FalAudWord)   272.00     4.00     4.00
  0 (VisWord)      280.00     4.00     4.00
  3 (FalAudWord)   288.00     4.00     6.00
  0 (VisWord)      298.00     4.00     4.00
  1 (FalVisWord)   306.00     4.00     4.00
  1 (FalVisWord)   314.00     4.00     6.00
